,Road Name,Road's image Url
0,Zoji La Pass,http://media.indiatimes.in/media/content/2015/Oct/20130815-asia-04858_1443675289.jpg
1,Neral-Matheran Road,http://media.indiatimes.in/media/content/2015/Oct/paramtapa_1443675367.jpg
2,National Highway 22,http://media.indiatimes.in/media/content/2015/Oct/bcm-touring_1443675463.jpg
3,Chang La,http://media.indiatimes.in/media/content/2015/Oct/cg_1443682439.jpg
4,Leh-Manali Highway,http://media.indiatimes.in/media/content/2015/Oct/leh-manali_1443682563.jpg
5,Munnar Road,http://media.indiatimes.in/media/content/2015/Oct/dsc03102_1443682716.jpg
6,Three level Zig Zag Road,http://media.indiatimes.in/media/content/2015/Oct/zigzag_1443675899.jpg
7,Khardung La Pass,http://media.indiatimes.in/media/content/2015/Oct/afr_2592_1443676015.jpg
8,Kishtwar-Kailash Road,http://www.youtube.com/embed/skC8u4Ok0Kg
9,Rajmachi Road,http://media.indiatimes.in/media/content/2015/Oct/dsc02348_1443676154.jpg
10,Kinnaur Road,http://media.indiatimes.in/media/content/2015/Oct/xx_1443676283.jpg
11,Nathu La Pass,http://media.indiatimes.in/media/content/2015/Oct/nathu_1443676364.jpg
12,Valparai Tirupati ghat,http://media.indiatimes.in/media/content/2015/Oct/valparai_ghatroad_1443676459.jpg
13,Gata Loops,http://media.indiatimes.in/media/content/2015/Oct/tumblr_mvgu00cq521s7wse4o1_1280_1443676572.jpg
14,Pune-Mumbai Expressway,http://media.indiatimes.in/media/content/2015/Oct/landslide-main_1443680663.jpg
15,Killar-Kishtawar,http://www.youtube.com/embed/SXkgTjZveuA
